date,sentimentScore,niftyIndexChange
2020-06-30,-0.19255254777070066,-10.3
2020-06-29,-0.21619324324324346,-70.6
2020-06-26,-0.28557024221453287,94.1
2020-06-25,-0.1906158075601376,-16.4
2020-06-24,-0.2570791390728476,-165.7
2020-06-23,-0.24415849673202594,159.8
2020-06-22,-0.20434174757281554,66.8
2020-06-19,-0.17181851851851854,152.75
2020-06-18,-0.1684852348993288,210.5
2020-06-17,-0.20550236486486498,-32.85
2020-06-16,-0.2316485148514849,100.3
2020-06-15,-0.2052635514018693,-159.2
2020-06-12,-0.21463203883495166,70.9
2020-06-11,-0.1761423780487807,-214.15
2020-06-10,-0.17879300699300718,69.5
2020-06-09,-0.1671599277978339,-120.8
2020-06-08,-0.2428228295819936,25.3
2020-06-05,-0.20019337979094076,113.05
2020-06-04,-0.1851793220338982,-32.45
2020-06-03,-0.17101241610738263,82.45
2020-06-02,-0.20936633333333343,152.95
2020-06-01,-0.2117131147540985,245.85
2020-05-29,-0.2039916376306621,90.2
2020-05-28,-0.17023049645390081,175.15
2020-05-27,-0.21422268041237105,285.9
2020-05-26,-0.21581000000000006,-10.2
2020-05-22,-0.19046493055555563,-67.0
2020-05-21,-0.17908089887640444,39.7
2020-05-20,-0.19340196078431382,187.45
2020-05-19,-0.21204081632653077,55.85
2020-05-18,-0.17398476821192094,-313.6
2020-05-15,-0.15341377049180333,-5.9
2020-05-14,-0.1948248091603056,-240.8
2020-05-13,-0.15727837837837844,187.0
2020-05-12,-0.1662075862068966,-42.65
2020-05-11,-0.17517266666666675,-12.3
2020-05-08,-0.1426055172413792,52.45
2020-05-07,-0.16375333333333342,-71.85
2020-05-06,-0.12738695652173906,65.3
2020-05-05,-0.17282285714285725,-87.9
2020-05-04,-0.16657404844290657,-566.4
2020-04-30,-0.11372624584717608,306.55
2020-04-29,-0.12580774647887316,172.45
2020-04-28,-0.18665620437956223,98.6
2020-04-27,-0.18516397306397328,127.9
2020-04-24,-0.19065619047619067,-159.5
2020-04-23,-0.20302253521126765,126.6
2020-04-22,-0.1257074074074074,205.85
2020-04-21,-0.15989730639730645,-280.4
2020-04-20,-0.18694422442244243,-4.9
2020-04-17,-0.16732857142857135,273.95
2020-04-16,-0.1802240143369176,67.5
2020-04-15,-0.14001100323624596,-68.55
2020-04-13,-0.17050700000000005,-118.05
2020-04-09,-0.2052401408450707,363.15
2020-04-08,-0.17840098684210517,-43.45
2020-04-07,-0.17699016393442618,708.4
2020-04-03,-0.12733558718861204,-170.0
2020-04-01,-0.20493230240549834,-343.95
2020-03-31,-0.1752678700361011,316.65
2020-03-30,-0.16223096085409253,-379.15
2020-03-27,-0.1812826229508199,18.8
2020-03-26,-0.1549958860759494,323.6
2020-03-25,-0.26968290322580646,516.8
2020-03-24,-0.2358641104294479,190.8
2020-03-23,-0.2844244117647056,-1135.2
2020-03-20,-0.3311338461538455,482.0
2020-03-19,-0.3136351515151509,-205.35
2020-03-18,-0.3440156521739126,-498.25
2020-03-17,-0.36263516819571806,-230.35
2020-03-16,-0.281679027355623,-757.8
2020-03-13,-0.27600734824281165,365.05
2020-03-12,-0.24889877675840974,-868.25
2020-03-11,-0.14106132075471708,6.95
2020-03-09,-0.20406923076923073,-538.0
2020-03-06,-0.18618754098360668,-279.55
2020-03-05,-0.2321396666666666,18.0
2020-03-04,-0.218848310810811,-52.3
2020-03-03,-0.1270865517241379,170.55
2020-03-02,-0.19778768656716422,-69.0
2020-02-28,-0.1574717105263159,-431.55
2020-02-27,-0.1415930501930502,-45.2
2020-02-26,-0.1560657534246577,-119.4
2020-02-25,-0.17923670033670036,-31.5
2020-02-24,-0.14805257731958754,-251.45
2020-02-20,-0.20112649006622527,-45.05
2020-02-19,-0.17735735294117644,133.4
2020-02-18,-0.1750451851851852,-53.3
2020-02-17,-0.2086903100775195,-67.65
2020-02-14,-0.15460174216027886,-61.2
2020-02-13,-0.14882234042553197,-26.55
2020-02-12,-0.19696131386861332,93.3
2020-02-11,-0.1478976666666666,76.4
2020-02-10,-0.11956783216783208,-66.85
2020-02-07,-0.17743297101449285,-39.6
2020-02-06,-0.1934547101449276,48.8
2020-02-05,-0.2175526845637585,109.5
2020-02-04,-0.06375286624203826,271.75
2020-02-03,-0.19989627118644074,46.05
2020-02-01,-0.1953622516556291,-300.25
2020-01-31,-0.19041382978723392,-73.7
2020-01-30,-0.15980517241379313,-93.7
2020-01-29,-0.18251115241635693,73.7
2020-01-28,-0.07512688172043008,-63.2
2020-01-27,-0.1437136363636364,-129.25
2020-01-24,-0.07910769230769232,67.9
2020-01-23,-0.1892754646840148,73.45
2020-01-22,-0.12713263157894727,-62.95
2020-01-21,-0.1923273381294964,-54.7
2020-01-20,-0.18347762711864407,-127.8
2020-01-17,-0.19726375838926177,-3.15
2020-01-16,-0.11960612244897957,12.2
2020-01-15,-0.19700148148148136,-19.0
2020-01-14,-0.11939647887323934,32.75
2020-01-13,-0.15823032490974726,72.75
2020-01-10,-0.14628784722222227,40.9
2020-01-09,-0.16544483985765118,190.55
2020-01-08,-0.22857973421926908,-27.6
2020-01-07,-0.1892663120567376,59.9
2020-01-06,-0.16851030534351155,-233.6
2020-01-03,-0.13498924731182801,-55.55
2020-01-02,-0.11565949820788525,99.7
2020-01-01,-0.1697762214983714,14.05
2019-12-31,-0.17755000000000007,-87.4
2019-12-30,-0.16759963099630978,10.05
2019-12-27,-0.1502913357400722,119.25
2019-12-26,-0.12615090252707584,-88.0
2019-12-24,-0.10678439716312052,-48.2
2019-12-23,-0.059124916943521566,-9.05
2019-12-20,-0.17295248226950366,12.1
2019-12-19,-0.15157157534246574,38.05
2019-12-18,-0.20430573476702515,56.65
2019-12-17,-0.1844170967741935,111.05
2019-12-16,-0.19773148788927336,-32.75
2019-12-13,-0.13570915254237284,114.9
2019-12-12,-0.17061660231660225,61.65
2019-12-11,-0.18683906810035852,53.35
2019-12-10,-0.21949857142857143,-80.7
2019-12-09,-0.18173148788927335,16.0
2019-12-06,-0.14596520146520145,-96.9
2019-12-05,-0.1752697674418605,-24.8
2019-12-04,-0.14133816254416948,49.0
2019-12-03,-0.1843526666666666,-54.0
2019-12-02,-0.2066579505300354,-7.85
2019-11-29,-0.12946388888888893,-95.1
2019-11-28,-0.1204319702602231,50.45
2019-11-27,-0.15131544117647056,63.0
2019-11-26,-0.1289060606060607,-36.05
2019-11-25,-0.1726598566308245,159.35
2019-11-22,-0.15333428571428565,-54.0
2019-11-21,-0.13200620437956206,-30.7
2019-11-20,-0.15863609022556388,59.0
2019-11-19,-0.14082576271186434,55.6
2019-11-18,-0.15546518771331058,-10.95
2019-11-15,-0.12434965517241381,23.35
2019-11-14,-0.16291450617283948,31.65
2019-11-13,-0.20175017182130575,-73.0
2019-11-11,-0.01385111821086259,5.3
2019-11-08,-0.09305476190476189,-103.9
2019-11-07,-0.15363867595818825,46.0
2019-11-06,-0.17951621621621636,48.85
2019-11-05,-0.18891953642384124,-24.1
