date,sentimentScore,niftyIndexChange,niftyIndex
2020-06-30,-0.19255254777070066,=C21-C22,10302.1
2020-06-29,-0.21619324324324346,=C22-C23,10312.4
2020-06-26,-0.28557024221453287,=C23-C24,10383.0
2020-06-25,-0.1906158075601376,=C24-C25,10288.9
2020-06-24,-0.2570791390728476,=C25-C26,10305.3
2020-06-23,-0.24415849673202594,=C26-C27,10471.0
2020-06-22,-0.20434174757281554,=C27-C28,10311.2
2020-06-19,-0.17181851851851854,=C28-C29,10244.4
2020-06-18,-0.1684852348993288,=C29-C30,10091.65
2020-06-17,-0.20550236486486498,=C30-C31,9881.15
2020-06-16,-0.2316485148514849,=C31-C32,9914.0
2020-06-15,-0.2052635514018693,=C32-C33,9813.7
2020-06-12,-0.21463203883495166,=C33-C34,9972.9
2020-06-11,-0.1761423780487807,=C34-C35,9902.0
2020-06-10,-0.17879300699300718,=C35-C36,10116.15
2020-06-09,-0.1671599277978339,=C36-C37,10046.65
2020-06-08,-0.2428228295819936,=C37-C38,10167.45
2020-06-05,-0.20019337979094076,=C38-C39,10142.15
2020-06-04,-0.1851793220338982,=C39-C40,10029.1
2020-06-03,-0.17101241610738263,=C40-C41,10061.55
2020-06-02,-0.20936633333333343,=C41-C42,9979.1
2020-06-01,-0.2117131147540985,=C42-C43,9826.15
2020-05-29,-0.2039916376306621,=C43-C44,9580.3
2020-05-28,-0.17023049645390081,=C44-C45,9490.1
2020-05-27,-0.21422268041237105,=C45-C46,9314.95
2020-05-26,-0.21581000000000006,=C46-C47,9029.05
2020-05-22,-0.19046493055555563,=C47-C48,9039.25
2020-05-21,-0.17908089887640444,=C48-C49,9106.25
2020-05-20,-0.19340196078431382,=C49-C50,9066.55
2020-05-19,-0.21204081632653077,=C50-C51,8879.1
2020-05-18,-0.17398476821192094,=C51-C52,8823.25
2020-05-15,-0.15341377049180333,=C52-C53,9136.85
2020-05-14,-0.1948248091603056,=C53-C54,9142.75
2020-05-13,-0.15727837837837844,=C54-C55,9383.55
2020-05-12,-0.1662075862068966,=C55-C56,9196.55
2020-05-11,-0.17517266666666675,=C56-C57,9239.2
2020-05-08,-0.1426055172413792,=C57-C58,9251.5
2020-05-07,-0.16375333333333342,=C58-C59,9199.05
2020-05-06,-0.12738695652173906,=C59-C60,9270.9
2020-05-05,-0.17282285714285725,=C60-C61,9205.6
2020-05-04,-0.16657404844290657,=C61-C62,9293.5
2020-04-30,-0.11372624584717608,=C62-C63,9859.9
2020-04-29,-0.12580774647887316,=C63-C64,9553.35
2020-04-28,-0.18665620437956223,=C64-C65,9380.9
2020-04-27,-0.18516397306397328,=C65-C66,9282.3
2020-04-24,-0.19065619047619067,=C66-C67,9154.4
2020-04-23,-0.20302253521126765,=C67-C68,9313.9
2020-04-22,-0.1257074074074074,=C68-C69,9187.3
2020-04-21,-0.15989730639730645,=C69-C70,8981.45
2020-04-20,-0.18694422442244243,=C70-C71,9261.85
2020-04-17,-0.16732857142857135,=C71-C72,9266.75
2020-04-16,-0.1802240143369176,=C72-C73,8992.8
2020-04-15,-0.14001100323624596,=C73-C74,8925.3
2020-04-13,-0.17050700000000005,=C74-C75,8993.85
2020-04-09,-0.2052401408450707,=C75-C76,9111.9
2020-04-08,-0.17840098684210517,=C76-C77,8748.75
2020-04-07,-0.17699016393442618,=C77-C78,8792.2
2020-04-03,-0.12733558718861204,=C78-C79,8083.8
2020-04-01,-0.20493230240549834,=C79-C80,8253.8
2020-03-31,-0.1752678700361011,=C80-C81,8597.75
2020-03-30,-0.16223096085409253,=C81-C82,8281.1
2020-03-27,-0.1812826229508199,=C82-C83,8660.25
2020-03-26,-0.1549958860759494,=C83-C84,8641.45
2020-03-25,-0.26968290322580646,=C84-C85,8317.85
2020-03-24,-0.2358641104294479,=C85-C86,7801.05
2020-03-23,-0.2844244117647056,=C86-C87,7610.25
2020-03-20,-0.3311338461538455,=C87-C88,8745.45
2020-03-19,-0.3136351515151509,=C88-C89,8263.45
2020-03-18,-0.3440156521739126,=C89-C90,8468.8
2020-03-17,-0.36263516819571806,=C90-C91,8967.05
2020-03-16,-0.281679027355623,=C91-C92,9197.4
2020-03-13,-0.27600734824281165,=C92-C93,9955.2
2020-03-12,-0.24889877675840974,=C93-C94,9590.15
2020-03-11,-0.14106132075471708,=C94-C95,10458.4
2020-03-09,-0.20406923076923073,=C95-C96,10451.45
2020-03-06,-0.18618754098360668,=C96-C97,10989.45
2020-03-05,-0.2321396666666666,=C97-C98,11269.0
2020-03-04,-0.218848310810811,=C98-C99,11251.0
2020-03-03,-0.1270865517241379,=C99-C100,11303.3
2020-03-02,-0.19778768656716422,=C100-C101,11132.75
2020-02-28,-0.1574717105263159,=C101-C102,11201.75
2020-02-27,-0.1415930501930502,=C102-C103,11633.3
2020-02-26,-0.1560657534246577,=C103-C104,11678.5
2020-02-25,-0.17923670033670036,=C104-C105,11797.9
2020-02-24,-0.14805257731958754,=C105-C106,11829.4
2020-02-20,-0.20112649006622527,=C106-C107,12080.85
2020-02-19,-0.17735735294117644,=C107-C108,12125.9
2020-02-18,-0.1750451851851852,=C108-C109,11992.5
2020-02-17,-0.2086903100775195,=C109-C110,12045.8
2020-02-14,-0.15460174216027886,=C110-C111,12113.45
2020-02-13,-0.14882234042553197,=C111-C112,12174.65
2020-02-12,-0.19696131386861332,=C112-C113,12201.2
2020-02-11,-0.1478976666666666,=C113-C114,12107.9
2020-02-10,-0.11956783216783208,=C114-C115,12031.5
2020-02-07,-0.17743297101449285,=C115-C116,12098.35
2020-02-06,-0.1934547101449276,=C116-C117,12137.95
2020-02-05,-0.2175526845637585,=C117-C118,12089.15
2020-02-04,-0.06375286624203826,=C118-C119,11979.65
2020-02-03,-0.19989627118644074,=C119-C120,11707.9
2020-02-01,-0.1953622516556291,=C120-C121,11661.85
2020-01-31,-0.19041382978723392,=C121-C122,11962.1
2020-01-30,-0.15980517241379313,=C122-C123,12035.8
2020-01-29,-0.18251115241635693,=C123-C124,12129.5
2020-01-28,-0.07512688172043008,=C124-C125,12055.8
2020-01-27,-0.1437136363636364,=C125-C126,12119.0
2020-01-24,-0.07910769230769232,=C126-C127,12248.25
2020-01-23,-0.1892754646840148,=C127-C128,12180.35
2020-01-22,-0.12713263157894727,=C128-C129,12106.9
2020-01-21,-0.1923273381294964,=C129-C130,12169.85
2020-01-20,-0.18347762711864407,=C130-C131,12224.55
2020-01-17,-0.19726375838926177,=C131-C132,12352.35
2020-01-16,-0.11960612244897957,=C132-C133,12355.5
2020-01-15,-0.19700148148148136,=C133-C134,12343.3
2020-01-14,-0.11939647887323934,=C134-C135,12362.3
2020-01-13,-0.15823032490974726,=C135-C136,12329.55
2020-01-10,-0.14628784722222227,=C136-C137,12256.8
2020-01-09,-0.16544483985765118,=C137-C138,12215.9
2020-01-08,-0.22857973421926908,=C138-C139,12025.35
2020-01-07,-0.1892663120567376,=C139-C140,12052.95
