date,sentimentScore,niftyIndexChange,niftyIndex
2020-06-08,-0.2417922348,25.3,10167.45
2020-06-05,-0.204748452,113.05,10142.15
2020-06-04,-0.1676774527,-32.45,10029.1
2020-06-03,-0.1963686434,82.45,10061.55
2020-06-02,-0.1640547888,152.95,9979.1
2020-06-01,-0.2195823194,245.85,9826.15
2020-05-29,-0.2385235033,90.2,9580.3
2020-05-28,-0.2156717844,175.15,9490.1
2020-05-27,-0.2126449074,285.9,9314.95
2020-05-26,-0.270857559,-10.2,9029.05
2020-05-22,-0.185906532,-67,9039.25
2020-05-21,-0.1912985507,39.7,9106.25
2020-05-20,-0.1803095559,187.45,9066.55
2020-05-19,-0.237450309,55.85,8879.1
2020-05-18,-0.2493906561,-313.6,8823.25
2020-05-15,-0.1810650432,-5.9,9136.85
2020-05-14,-0.1843619776,-240.8,9142.75
2020-05-13,-0.2118864481,187,9383.55
2020-05-12,-0.2042544074,-42.65,9196.55
2020-05-11,-0.2875818774,-12.3,9239.2
2020-05-08,-0.2340524451,52.45,9251.5
2020-05-07,-0.250024395,-71.85,9199.05
2020-05-06,-0.2104164512,65.3,9270.9
2020-05-05,-0.2348890052,-87.9,9205.6
2020-05-04,-0.205259583,-566.4,9293.5
2020-04-30,-0.2328226369,306.55,9859.9
2020-04-29,-0.2398319486,172.45,9553.35
2020-04-28,-0.2735727249,98.6,9380.9
2020-04-27,-0.2793515536,127.9,9282.3
2020-04-24,-0.2587538368,-159.5,9154.4
2020-04-23,-0.2662457862,126.6,9313.9
2020-04-22,-0.2973799349,205.85,9187.3
2020-04-21,-0.2744140121,-280.4,8981.45
2020-04-20,-0.2913931098,-4.9,9261.85
2020-04-17,-0.2890298095,273.95,9266.75
2020-04-16,-0.2926898868,67.5,8992.8
2020-04-15,-0.2753243831,-68.55,8925.3
2020-04-13,-0.2734418856,-118.05,8993.85
2020-04-09,-0.2777575442,363.15,9111.9
2020-04-08,-0.2619966764,-43.45,8748.75
2020-04-07,-0.3024013158,708.4,8792.2
2020-04-03,-0.3061041084,-170,8083.8
2020-04-06,-0.3000123,,8966.620317
2020-04-07,-0.2800014,,9063.603255
2020-04-08,-0.240021,,9257.569131
2020-04-09,-0.2600021,,9160.586193
2020-04-10,-0.220011,,9354.552069
2020-04-13,-0.20000091,,9451.535007
2020-04-14,-0.18000242,,9548.517945
2020-04-15,-0.19000112,,9645.500883
2020-04-16,-0.3000023,,8966.620317
2020-04-17,-0.28100014,,9073.603256
2020-04-20,-0.245021,,9257.569131
2020-04-21,-0.2600621,,9165.586193
2020-04-22,-0.220013,,9354.652069
2020-04-23,-0.20000091,,9451.535007
2020-04-24,-0.18000412,,9558.517945
2020-04-25,-0.19000112,,9645.500883
